Teritoriālā vienība;Dzīvojamo telpu veids;Apdzīvoti mājokļi 2011;Apdzīvoti mājokļi 2021;Mājokļos dzīvojošās personas 2011;Mājokļos dzīvojošās personas 2021;Mājokļu pieaugums;Cilvēku pieaugums
Mīlgrāvis;Apdzīvotie tradicionālie mājokļi;1558;1769;3923;3751;211;-172
Mīlgrāvis;Instucionālie mājokļi (kopējas dzīvojamās telpas);0;0;0;0;0;0
Mīlgrāvis;Citas dzīvojamās vienības;1;3;2;3;2;1
Mūkupurvs;Pavisam;53;61;203;220;8;17
Mūkupurvs;Apdzīvotie tradicionālie mājokļi;52;49;196;152;-3;-44
Mūkupurvs;Instucionālie mājokļi (kopējas dzīvojamās telpas);0;0;0;0;0;0
Mūkupurvs;Citas dzīvojamās vienības;1;7;7;47;6;40
Pētersala-Andrejsala;Pavisam;2325;2630;5180;4990;305;-190
Pētersala-Andrejsala;Apdzīvotie tradicionālie mājokļi;2325;2606;5180;4935;281;-245
Pētersala-Andrejsala;Instucionālie mājokļi (kopējas dzīvojamās telpas);0;0;0;0;0;0
Pētersala-Andrejsala;Citas dzīvojamās vienības;0;11;0;35;11;35
Pleskodāle;Pavisam;2011;2150;5276;5075;139;-201
Pleskodāle;Apdzīvotie tradicionālie mājokļi;2009;2102;5225;4813;93;-412
Pleskodāle;Instucionālie mājokļi (kopējas dzīvojamās telpas);2;3;51;144;1;93
Pleskodāle;Citas dzīvojamās vienības;0;24;0;63;24;63
Pļavnieki;Pavisam;18210;19478;44746;40828;1268;-3918
Pļavnieki;Apdzīvotie tradicionālie mājokļi;18207;19463;44739;40801;1256;-3938
Pļavnieki;Instucionālie mājokļi (kopējas dzīvojamās telpas);0;0;0;0;0;0
Pļavnieki;Citas dzīvojamās vienības;3;15;7;27;12;20
Purvciems;Pavisam;25258;26655;59272;53855;1397;-5417
Purvciems;Apdzīvotie tradicionālie mājokļi;25240;26572;59193;53737;1332;-5456
Purvciems;Instucionālie mājokļi (kopējas dzīvojamās telpas);3;64;46;81;61;35
