Teritoriālā vienība;Dzīvojamā platība uz vienu iemītnieku;2011;2021
Šķirotava;20–29.9 m²;159;201
Šķirotava;30–39.9 m²;65;73
Šķirotava;40–59.9 m²;101;121
Šķirotava;60–79.9 m²;21;27
Šķirotava;80+ m²;32;40
Teika;<10 m²;820;504
Teika;10–14.9 m²;1778;1309
Teika;15–19.9 m²;1943;1663
Teika;20–29.9 m²;3427;3432
Teika;30–39.9 m²;1471;2021
Teika;40–59.9 m²;2042;3393
Teika;60–79.9 m²;464;1056
Teika;80+ m²;254;493
Torņakalns;<10 m²;345;226
Torņakalns;10–14.9 m²;468;396
Torņakalns;15–19.9 m²;433;353
Torņakalns;20–29.9 m²;615;645
Torņakalns;30–39.9 m²;391;390
Torņakalns;40–59.9 m²;323;515
Torņakalns;60–79.9 m²;71;126
Torņakalns;80+ m²;59;84
Trīsciems;<10 m²;19;12
Trīsciems;10–14.9 m²;42;23
Trīsciems;15–19.9 m²;36;32
Trīsciems;20–29.9 m²;55;62
Trīsciems;30–39.9 m²;50;44
Trīsciems;40–59.9 m²;33;67
Trīsciems;60–79.9 m²;19;64
Trīsciems;80+ m²;34;61
Vecāķi;<10 m²;15;12
Vecāķi;10–14.9 m²;27;21
Vecāķi;15–19.9 m²;39;24
Vecāķi;20–29.9 m²;62;77
Vecāķi;30–39.9 m²;68;82
Vecāķi;40–59.9 m²;95;151
Vecāķi;60–79.9 m²;73;88
Vecāķi;80+ m²;100;241
Vecdaugava;<10 m²;32;31
Vecdaugava;10–14.9 m²;68;42
Vecdaugava;15–19.9 m²;45;43
Vecdaugava;20–29.9 m²;102;97
Vecdaugava;30–39.9 m²;39;35
Vecdaugava;40–59.9 m²;93;143
Vecdaugava;60–79.9 m²;24;28
Vecdaugava;80+ m²;35;49
Vecmīlgrāvis;<10 m²;749;354
Vecmīlgrāvis;10–14.9 m²;1478;1070
Vecmīlgrāvis;15–19.9 m²;2033;1461
Vecmīlgrāvis;20–29.9 m²;2420;2428
Vecmīlgrāvis;30–39.9 m²;1238;1440
Vecmīlgrāvis;40–59.9 m²;1000;1982
Vecmīlgrāvis;60–79.9 m²;181;504
Vecmīlgrāvis;80+ m²;34;55
Vecpilsēta;<10 m²;31;18
Vecpilsēta;10–14.9 m²;65;37
Vecpilsēta;15–19.9 m²;74;58
Vecpilsēta;20–29.9 m²;154;119
Vecpilsēta;30–39.9 m²;107;119
Vecpilsēta;40–59.9 m²;168;211
Vecpilsēta;60–79.9 m²;116;136
Vecpilsēta;80+ m²;114;217
Voleri;<10 m²;17;7
Voleri;10–14.9 m²;19;24
Voleri;15–19.9 m²;16;8
Voleri;20–29.9 m²;24;26
Voleri;30–39.9 m²;8;15
Voleri;40–59.9 m²;26;35
Voleri;60–79.9 m²;3;3
Voleri;80+ m²;2;4
Zasulauks;<10 m²;227;114
Zasulauks;10–14.9 m²;483;320
Zasulauks;15–19.9 m²;483;430
Zasulauks;20–29.9 m²;806;771
Zasulauks;30–39.9 m²;331;515
Zasulauks;40–59.9 m²;471;701
Zasulauks;60–79.9 m²;63;210
Zasulauks;80+ m²;29;59
Ziepniekkalns;<10 m²;820;368
Ziepniekkalns;10–14.9 m²;1838;1166
Ziepniekkalns;15–19.9 m²;2644;1818
Ziepniekkalns;20–29.9 m²;3528;3248
Ziepniekkalns;30–39.9 m²;2268;2767
Ziepniekkalns;40–59.9 m²;1817;3222
Ziepniekkalns;60–79.9 m²;426;1369
Ziepniekkalns;80+ m²;201;399
Zolitūde;<10 m²;185;33
Zolitūde;10–14.9 m²;659;268
Zolitūde;15–19.9 m²;1349;772
Zolitūde;20–29.9 m²;2225;1529
Zolitūde;30–39.9 m²;1173;1407
Zolitūde;40–59.9 m²;1102;1701
Zolitūde;60–79.9 m²;381;1461
Zolitūde;80+ m²;171;566
