"Apdzīvoti mājokļi un tajos dzīvojošās personas reģionos, republikas pilsētās, novados un apkaimēs – Teritoriālā vienība, Dzīvojamo telpu veids, Mērvienība un Laika periods"

"Teritoriālā vienība";"Dzīvojamo telpu veids";"Apdzīvoti mājokļi 2011";"Apdzīvoti mājokļi 2021";"Mājokļos dzīvojošās personas 2011";"Mājokļos dzīvojošās personas 2021"
"..Jugla";"Apdzīvotie tradicionālie mājokļi";11047;11429;24728;22685
"..Jugla";"Instucionālie mājokļi (kopējas dzīvojamās telpas)";6;4;352;217
"..Jugla";"Citas dzīvojamās vienības";7;40;14;143
"..Jugla";"Nav norādīts";0;15;0;21
"..Katlakalns";"Pavisam";49;51;141;160
"..Katlakalns";"Apdzīvotie tradicionālie mājokļi";49;46;141;147
"..Katlakalns";"Instucionālie mājokļi (kopējas dzīvojamās telpas)";0;0;0;0
"..Katlakalns";"Citas dzīvojamās vienības";0;4;0;12
"..Katlakalns";"Nav norādīts";0;1;0;1
"..Kleisti";"Pavisam";74;169;217;455
"..Kleisti";"Apdzīvotie tradicionālie mājokļi";74;147;217;390
"..Kleisti";"Instucionālie mājokļi (kopējas dzīvojamās telpas)";0;0;0;0
"..Kleisti";"Citas dzīvojamās vienības";0;5;0;17
"..Kleisti";"Nav norādīts";0;17;0;48
"..Kundziņsala";"Pavisam";141;139;399;361
"..Kundziņsala";"Apdzīvotie tradicionālie mājokļi";140;133;398;351
"..Kundziņsala";"Instucionālie mājokļi (kopējas dzīvojamās telpas)";0;0;0;0
"..Kundziņsala";"Citas dzīvojamās vienības";1;4;1;6
"..Kundziņsala";"Nav norādīts";0;2;0;4
"..Ķengarags";"Pavisam";21830;22706;50345;45081
"..Ķengarags";"Apdzīvotie tradicionālie mājokļi";21670;22669;50037;45017
"..Ķengarags";"Instucionālie mājokļi (kopējas dzīvojamās telpas)";152;5;292;15
"..Ķengarags";"Citas dzīvojamās vienības";8;28;16;44
"..Ķengarags";"Nav norādīts";0;4;0;5
"..Ķīpsala";"Pavisam";255;282;778;814
"..Ķīpsala";"Apdzīvotie tradicionālie mājokļi";248;265;637;561
"..Ķīpsala";"Instucionālie mājokļi (kopējas dzīvojamās telpas)";7;4;141;223
"..Ķīpsala";"Citas dzīvojamās vienības";0;3;0;4
"..Ķīpsala";"Nav norādīts";0;10;0;26
"..Latgales apkaime";"Pavisam";10970;11201;27179;24199
"..Latgales apkaime";"Apdzīvotie tradicionālie mājokļi";10950;10855;25571;22167
"..Latgales apkaime";"Instucionālie mājokļi (kopējas dzīvojamās telpas)";10;36;111;428
"..Latgales apkaime";"Citas dzīvojamās vienības";10;104;1497;1176
"..Latgales apkaime";"Nav norādīts";0;206;0;428
"..Mangaļsala";"Pavisam";478;479;1348;1201
"..Mangaļsala";"Apdzīvotie tradicionālie mājokļi";476;469;1344;1178
"..Mangaļsala";"Instucionālie mājokļi (kopējas dzīvojamās telpas)";0;0;0;0
"..Mangaļsala";"Citas dzīvojamās vienības";2;4;4;7
"..Mangaļsala";"Nav norādīts";0;6;0;16
"..Mežaparks";"Pavisam";1497;1626;4201;3955
"..Mežaparks";"Apdzīvotie tradicionālie mājokļi";1492;1602;4133;3840
"..Mežaparks";"Instucionālie mājokļi (kopējas dzīvojamās telpas)";4;4;67;63
"..Mežaparks";"Citas dzīvojamās vienības";1;9;1;27
"..Mežaparks";"Nav norādīts";0;11;0;25
"..Mežciems";"Pavisam";5740;6366;15268;14779
"..Mežciems";"Apdzīvotie tradicionālie mājokļi";5732;6353;14554;14151
"..Mežciems";"Instucionālie mājokļi (kopējas dzīvojamās telpas)";5;4;699;610
"..Mežciems";"Citas dzīvojamās vienības";3;9;15;18
"..Mežciems";"Nav norādīts";0;0;0;0
"..Mīlgrāvis";"Pavisam";1559;1783;3925;3777
"..Mīlgrāvis";"Apdzīvotie tradicionālie mājokļi";1558;1769;3923;3751
"..Mīlgrāvis";"Instucionālie mājokļi (kopējas dzīvojamās telpas)";0;0;0;0
"..Mīlgrāvis";"Citas dzīvojamās vienības";1;3;2;3
"..Mīlgrāvis";"Nav norādīts";0;11;0;23
"..Mūkupurvs";"Pavisam";53;61;203;220
"..Mūkupurvs";"Apdzīvotie tradicionālie mājokļi";52;49;196;152
"..Mūkupurvs";"Instucionālie mājokļi (kopējas dzīvojamās telpas)";0;0;0;0
"..Mūkupurvs";"Citas dzīvojamās vienības";1;7;7;47
"..Mūkupurvs";"Nav norādīts";0;5;0;21
"..Pētersala-Andrejsala";"Pavisam";2325;2630;5180;4990
"..Pētersala-Andrejsala";"Apdzīvotie tradicionālie mājokļi";2325;2606;5180;4935
"..Pētersala-Andrejsala";"Instucionālie mājokļi (kopējas dzīvojamās telpas)";0;0;0;0
"..Pētersala-Andrejsala";"Citas dzīvojamās vienības";0;11;0;35
"..Pētersala-Andrejsala";"Nav norādīts";0;13;0;20
"..Pleskodāle";"Pavisam";2011;2150;5276;5075
"..Pleskodāle";"Apdzīvotie tradicionālie mājokļi";2009;2102;5225;4813
"..Pleskodāle";"Instucionālie mājokļi (kopējas dzīvojamās telpas)";2;3;51;144
"..Pleskodāle";"Citas dzīvojamās vienības";0;24;0;63
"..Pleskodāle";"Nav norādīts";0;21;0;55
"..Pļavnieki";"Pavisam";18210;19478;44746;40828
"..Pļavnieki";"Apdzīvotie tradicionālie mājokļi";18207;19463;44739;40801
"..Pļavnieki";"Instucionālie mājokļi (kopējas dzīvojamās telpas)";0;0;0;0
"..Pļavnieki";"Citas dzīvojamās vienības";3;15;7;27
"..Pļavnieki";"Nav norādīts";0;0;0;0
"..Purvciems";"Pavisam";25258;26655;59272;53855
"..Purvciems";"Apdzīvotie tradicionālie mājokļi";25240;26572;59193;53737
"..Purvciems";"Instucionālie mājokļi (kopējas dzīvojamās telpas)";3;64;46;81
"..Purvciems";"Citas dzīvojamās vienības";15;18;33;36
"..Purvciems";"Nav norādīts";0;1;0;1
"..Rumbula";"Pavisam";349;359;1058;870
"..Rumbula";"Apdzīvotie tradicionālie mājokļi";347;351;866;701
"..Rumbula";"Instucionālie mājokļi (kopējas dzīvojamās telpas)";2;1;11;0
"..Rumbula";"Citas dzīvojamās vienības";0;7;181;169
"..Rumbula";"Nav norādīts";0;0;0;0
"..Salas";"Pavisam";29;26;84;75
"..Salas";"Apdzīvotie tradicionālie mājokļi";28;21;80;65
"..Salas";"Instucionālie mājokļi (kopējas dzīvojamās telpas)";0;0;0;0
"..Salas";"Citas dzīvojamās vienības";1;0;4;0
